node,Floor,Archi_Node,Fx,Fy,Fz,Mx,My,Mz
83,attic,D-2,0.0,-10.926382499999999,0.0,5126.29445625,0.0,2297.959878041667
59,attic,D-3,0.0,-27.0079425,0.0,-2324.9904562499996,0.0,14091.103878041667
85,attic,D-4,0.0,-26.579245,0.0,-2801.304,0.0,22640.751833333336
61,attic,D-5,0.0,-10.497685,0.0,0.0,0.0,10847.607833333333
80,roof,B-2,0.0,-7.127661238091529,0.0,3804.8830198906617,-1676.3609128048417,-1554.2543685706862
107,roof,B-3',0.0,-10.757488720452956,0.0,-3253.9941549902956,1433.649492876631,-2989.840770288936
82,roof,B-4,0.0,-3.629827482361427,0.0,-550.8888649003661,242.71141992821074,-1435.5864017182496
88,roof,B1-2,0.0,-7.127661238091529,0.0,3804.8830198906617,-1676.3609128048417,1554.2543685706862
108,roof,B1-3',0.0,-10.757488720452956,0.0,-3253.9941549902956,1433.649492876631,2989.840770288936
92,roof,B1-4,0.0,-3.629827482361427,0.0,-550.8888649003661,242.71141992821074,1435.5864017182496
89,roof,C1-2,0.0,-4.0970158042538785,0.0,1134.1499627345138,499.68544547838474,-1084.0791942607677
90,roof,C1-2A,0.0,-6.321110097991698,0.0,-952.4617656206872,-419.6369944833387,-1961.888479402137
110,roof,C1-3',0.0,-5.443178139937296,0.0,369.20066778653955,162.66296893316473,-1925.1953640032302
93,roof,C1-4,0.0,-3.219083846199476,0.0,-550.8888649003661,-242.71141992821074,-1047.386078861861
83,roof,D-2,0.0,-4.0970158042538785,0.0,1134.1499627345138,499.68544547838474,1084.0791942607677
109,roof,D-2A,0.0,-6.321110097991698,0.0,-952.4617656206872,-419.6369944833387,1961.888479402137
111,roof,D-3',0.0,-5.443178139937296,0.0,369.20066778653955,162.66296893316473,1925.1953640032302
85,roof,D-4,0.0,-3.219083846199476,0.0,-550.8888649003661,-242.71141992821074,1047.386078861861
94,roof,uB1-2,0.0,-4.7252624999999995,0.0,1638.0909999999997,0.0,-1259.4531249999998
97,roof,uB1-2A,0.0,-11.00311125,0.0,1223.5617218749996,0.0,-2909.7960556249996
98,roof,uB1-4,0.0,-6.2778487499999995,0.0,-2861.6527218749993,0.0,-1650.3429306249998
95,roof,uC1-2,0.0,-4.7252624999999995,0.0,1638.0909999999997,0.0,1259.4531249999998
96,roof,uC1-2A,0.0,-11.00311125,0.0,1223.5617218749996,0.0,2909.7960556249996
99,roof,uC1-4,0.0,-6.2778487499999995,0.0,-2861.6527218749993,0.0,1650.3429306249998
