Member_ID,End,Fx,Fy,Fz,Mx,My,Mz,End,Fx,Fy,Fz,Mx,My,Mz
51,Node_I,1.048556,9.109398,-0.026733,5.575151,5.997388,567.163269,Node_J,-1.048556,-9.109398,0.026733,-5.575151,-2.155786,741.864441
52,Node_I,0.106071,-9.827693,-0.639947,-170.048981,22.973499,-699.073364,Node_J,-0.106071,9.827693,0.639947,170.048981,36.234169,-210.181671
53,Node_I,1.076434,-0.976153,0.74329,22.868593,-11.508334,-82.749794,Node_J,-1.076434,0.976153,-0.74329,-22.868593,-26.534056,32.789204
54,Node_I,0.547841,-3.985725,0.167053,-26.185926,-1.022371,-56.843182,Node_J,-0.547841,3.985725,-0.167053,26.185926,-7.527604,-147.15062
55,Node_I,0.576236,-0.913569,-0.528593,23.913485,27.556427,-49.06234,Node_J,-0.576236,0.913569,0.528593,-23.913485,21.348873,-35.460815
56,Node_I,0.528593,-4.626289,0.576236,-35.468636,-21.348873,23.770002,Node_J,-0.528593,4.626289,-0.576236,35.468636,-8.143548,-260.548584
57,Node_I,18.003757,0.288901,-0.145517,2.230897,7.553517,7.316417,Node_J,-18.003757,-0.288901,0.145517,-2.230897,7.914792,23.393541
58,Node_I,40.049133,0.592703,-0.419679,2.252583,25.146723,26.724092,Node_J,-40.049133,-0.592703,0.419679,-2.252583,19.464848,36.279808
59,Node_I,53.369869,1.053219,-0.581795,0.097829,30.487682,69.554924,Node_J,-53.369869,-1.053219,0.581795,-0.097829,31.356718,42.401386
60,Node_I,20.005156,0.104031,-0.916598,0.852683,57.850632,12.904644,Node_J,-20.005156,-0.104031,0.916598,-0.852683,39.582985,-1.846276
61,Node_I,52.685059,0.445645,1.569075,1.258572,-92.533951,58.907799,Node_J,-52.685059,-0.445645,-1.569075,-1.258572,-74.257469,-11.536116
62,Node_I,14.503925,-1.122514,-0.153789,7.778277,46.819302,3.947508,Node_J,-14.503925,1.122514,0.153789,-7.778277,-30.471615,-123.26989
63,Node_I,73.877968,0.324303,0.710378,-2.165172,-7.46635,49.470367,Node_J,-73.877968,-0.324303,-0.710378,2.165172,-68.046249,-14.997194
64,Node_I,-0.96843,0.016146,0.026344,-2.489854,-2.698142,1.408771,Node_J,0.96843,-0.016146,-0.026344,2.489854,-2.280233,1.642371
65,Node_I,-1.747241,-0.270523,0.004481,-0.759507,-0.29116,-30.310114,Node_J,1.747241,0.270523,-0.004481,0.759507,-0.802678,-35.723003
66,Node_I,0.024873,-0.270149,-0.019223,0.625673,1.771833,-21.440214,Node_J,-0.024873,0.270149,0.019223,-0.625673,1.633737,-26.420895
67,Node_I,-0.194921,-0.056555,0.038605,1.238686,-3.591257,-5.137894,Node_J,0.194921,0.056555,-0.038605,-1.238686,-3.704125,-5.549681
68,Node_I,-0.144558,-0.345933,-0.026362,0.791157,2.687348,-36.425755,Node_J,0.144558,0.345933,0.026362,-0.791157,1.98309,-24.861664
69,Node_I,-1.724112,-0.294929,0.007547,-11.450042,-1.06311,-31.928389,Node_J,1.724112,0.294929,-0.007547,11.450042,-0.779086,-40.062153
70,Node_I,0.224585,-1.353725,-0.021117,1.692301,1.674729,-95.061905,Node_J,-0.224585,1.353725,0.021117,-1.692301,2.066551,-144.771194
71,Node_I,9.626141,-1.094702,1.025228,-9.676665,-35.520065,-14.168727,Node_J,-9.626141,1.094702,-1.025228,9.676665,-73.460892,-102.197273
72,Node_I,1.10355,3.386218,-0.051271,4.676907,4.624357,265.114258,Node_J,-1.10355,-3.386218,0.051271,-4.676907,2.743274,221.487961
73,Node_I,-0.029246,-1.061436,0.028877,0.351413,-3.628285,-125.091568,Node_J,0.029246,1.061436,-0.028877,-0.351413,-3.420324,-133.9991
74,Node_I,0.420133,-0.685579,0.09249,42.482983,0.008918,-58.696701,Node_J,-0.420133,0.685579,-0.09249,-42.482983,-8.566085,-4.732867
