Node,ui,vi,wi,θxi,θyi,θzi
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.05810971024227177,-0.166126121489885,-0.11736365630098637,-0.00011065205819842583,2.372278452918688e-06,-7.372481561971307e-05
29,-0.03451239113245705,-0.1949721030823039,0.03971869160409353,4.467494758045715e-05,-1.4337166091653833e-05,3.254210930981777e-05
30,-0.1351282022669992,-0.1655824771709496,0.07505658684259449,7.924156931275035e-05,-2.903120347997927e-05,0.0001468915823763774
31,-0.5965187917949044,-0.04499183330953574,0.12238130025761307,0.0001260134261833091,-1.3112201944423353e-05,0.0006221744331975628
32,0.4063087152541048,-0.4779153827269185,0.13381212637588252,0.0004551896202958958,6.9586834618948175e-06,-0.00015237782855475444
33,0.03926555832873799,-0.5625302620646806,0.13506481385971209,-9.880165361409141e-06,-4.205568720218458e-05,-0.00013378781225609185
34,-0.3322870871365355,-0.47632069272470795,0.1259547436363336,-0.00012201180519474106,-8.515819687460585e-05,-0.00013531076740260024
35,-0.8112727960959264,-0.12258813739789398,0.1257328046316274,-0.0002626039991222832,-3.8462459036975164e-05,-0.001121391365024577
36,0.7094910325618781,-0.6991574773833044,1.0854351577676726,0.0005321937515089997,-3.8475713568273446e-05,-0.00011059761586969868
37,0.2950426965746821,-0.8732151322381936,1.0861250909784392,-9.04710195682104e-05,-6.764667450434288e-05,-0.0001370747108546101
38,-0.1662509265806506,-0.8907163416177677,1.0766971934265994,0.001210585647247454,-9.32464988786217e-05,-0.0003045326870279326
39,-0.4763912835915354,-7.20267945876733,1.0767001968342609,0.003191572791753925,-2.8393871539479038e-05,-0.0002659078581999846
40,0.8712928251130704,-0.852567376787991,2.3026483623723615,0.0007176741229338012,-8.068941385667739e-05,-7.359423534499703e-05
41,0.6163189503058668,-1.0852782474823717,2.2938773891744644,-0.000559736939114346,-5.4404372875385194e-05,-0.00026068582245333604
42,0.5886871544258842,-1.174152418076244,2.30067860813487,0.0008949450117456409,-1.5311003332308225e-05,-0.0004664651043648261
43,0.8048226787579381,-5.087407124260224,2.2997471317237697,0.0019090290894298938,-7.748897981184886e-05,-0.000638781008702034
44,-0.8520208375725173,-7.601387230452552,0.1523573012755124,-0.0006201208990641951,1.5785360123742136e-05,-2.5629788078909593e-05
45,-0.4806901283959226,-7.683487217127938,0.8396326389510352,0.0009361611173425179,-0.00011462114794990271,-0.0003487471069333308
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.1310068845470121,-0.08540321068423055,-0.007935953250481917,-3.0219526104328722e-06,-1.8534620407158616e-05,-0.00014651539020157545
49,0.07731402264206116,-0.1633030378030318,-0.3516489820284566,-0.0003430172312566215,-3.3139211180165352e-06,-7.878837433630613e-05
50,0.4245567337613765,-0.24112817769699876,0.12034236300856038,0.0001197448092208808,-5.43682198609986e-05,4.932474445949944e-05
51,0.0589641410959749,-0.4696343372454823,0.11452898026650571,0.001134911423971878,-9.72083527951517e-06,0.0001822602113058509
52,-0.3055688252502297,-6.915279413225168,0.10799063292251236,0.00043294699662454897,-0.00019681968378575424,0.00036508339679322294
53,-0.8666985203023343,-5.328226174242581,0.1073712544531995,-0.000988699767236228,1.738106786535923e-05,0.002370754869093146
54,0.7242313370150331,-0.34886493424319853,1.3758925353886717,0.0004659293989379095,-7.166330881804088e-05,-3.821265990486091e-05
55,0.3159285960293384,-0.7676441858372006,1.3731004536125266,0.0007501013223895109,-6.0540007280797086e-05,-3.0630260763135494e-05
56,-0.18110661206514822,-6.963187859768177,1.3628296546312233,0.0010970929147433332,-9.342937481646282e-05,-0.00019265813029906246
57,-0.48144576142095213,-8.891248269582114,1.3600013220912515,0.0006973839385041955,-0.00027939704614756973,-0.0005871626877207599
58,0.8601423839029294,-0.41793161307259646,3.0764743833536197,0.00027096569926136823,-7.574179844596355e-05,0.00028382436233102376
59,0.583013580989997,-0.9650074785261281,3.0789098514905486,0.0008319905679090541,-1.4115712523417591e-05,0.00033795452324635934
60,0.5620849376531161,-6.986321515930704,3.081217859492362,0.001260219470139189,-1.166161902416597e-05,-0.0002331234852155123
61,0.8126223204583256,-9.360926242580973,3.0820893604260826,0.0008939096115671289,0.00015071079072384106,-0.0008467023789026354
62,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0
64,0.07070541854791229,-0.012405564314442015,-0.19845184866689278,-0.00019517874227076144,-2.5663063878184272e-06,-7.211694986332917e-05
65,0.4423277396983937,-0.05287848304934594,0.18531506922785068,0.00018386291195969807,1.4078740847151444e-05,-0.00040179975360003165
66,0.055501145604096074,-0.02700174834561906,0.02475452999926862,0.0006086046234874535,-7.527832070934052e-06,0.00016542037903067788
67,-0.8844241852538082,-0.14572230996800392,0.016915588300327168,-0.0005363171753960695,4.1297639818310896e-05,0.0020193932856162606
68,0.8131004733104003,-7.723495049552419,3.205230283215326,0.0010487498754547964,-7.110049185650825e-05,-0.0007345044640850351
69,0.16000965483539278,-0.38365405883323783,0.8273581569945772,0.00014751454127885408,-5.653858314784177e-05,-6.191318623289548e-05
70,-0.3115771369125104,-0.24520022187959523,0.8243664645057338,8.02636735096902e-06,-5.1699355200288474e-05,-4.015249225501066e-05
71,0.13700271032412023,-0.32147393403633845,1.2927021328944144,8.760011324335186e-06,-8.85114600436334e-05,-0.00025941828723062094
72,0.42288642100011303,-0.49543456646955697,1.2918268822841246,0.00016423131459254243,-5.519081328699879e-05,-8.525636628236292e-05
73,0.8722081302030208,-1.0360639761344965,2.2186816968379652,0.000612276754019992,-0.0001214070357996216,0.0002020473644144977
74,0.8653280517768409,-2.362217245950361,2.7708213792379723,0.0007588115216395858,-0.00012298069478906246,-8.898677406182029e-05
75,0.6194831690700916,-1.0805512187142887,2.2245780526763332,-0.000687004511814533,-9.344178483719067e-05,0.00010165306578172708
76,0.5997367201040616,-2.9745867801482406,2.774767918271624,-0.0006301134978013302,-0.00011387532863591926,-0.0002043943682367865
77,0.6694637366335195,-3.4999611690382095,2.7751039022807364,-0.0003256846046003092,-7.043317850430316e-05,-0.0004858553026112137
78,0.6691319551219985,-1.66662410161581,2.225137675953475,-0.0004113805462319604,-2.8212834475285066e-05,3.86770377508112e-05
79,0.6696963043307802,-1.7181037651286697,2.2958014739457875,-0.0005131254485072608,-8.913615823086303e-05,-0.00025634680797277214
80,1.067501586502217,-0.3976270589765976,2.0488852277016254,0.00025459008319375507,-0.00022805223161108404,-0.00010472851373449311
81,1.6653807454577603,-0.5676514806684956,2.0461171175085333,0.00016781978383716495,0.0001527029272330976,-0.0003167855387983733
82,1.965133972785579,-0.36424327430585146,2.044480461756162,-0.00029664385724501507,-7.824698639634417e-05,-0.00030676179443902516
83,0.4687303131554369,-0.4422581753666386,5.031105163946255,0.0003176523447957859,-7.210917723207611e-05,0.0003741584134373776
84,0.44171293361450853,-1.0416877713717427,5.039017046201785,0.0008224929452976545,0.00017134783693693124,0.00010001966788957347
85,2.2344164404755555,-6.985949581718022,5.045426110162105,0.0013031308692347612,0.00015412265533321808,-0.00048079383695997336
86,0.594225798542068,-1.2017666984436253,2.1900535131158607,0.0007327665702347995,-0.00016375642577077487,0.0001524117342403812
87,0.5601480356150954,-5.123521782884017,2.4693913837069035,0.0008563745431784845,-0.0001464032758527566,-0.0010101259940835227
88,0.9138877110224161,-1.080878218545447,2.932753780719836,0.00027507002055978514,-0.00020868975810974316,-0.0002441618993278258
89,0.9417278253602028,-2.374847245051281,3.8687949399565142,0.00037359788555013857,-0.00011757159101769795,-8.544372347372966e-06
90,1.1846921626079732,-3.5405913963634283,3.86624709313575,0.0004024000689534125,-2.1463666114034785e-05,5.48529681302013e-05
91,1.0563882377052312,-1.718199358667945,2.942982444292087,0.00024159463342721354,9.656319739373374e-05,-0.0003813266331681771
92,1.7708001931873287,-1.2890220251138347,2.988272730870753,-5.792201034897295e-05,-0.00012417485093723984,-0.0007808897553064334
93,1.8198838068243286,-5.16552698265477,3.884840776699943,0.00036238904478703087,-9.684133688577175e-05,-0.0005446586461693081
94,0.9924491970291457,-1.0828387250929834,3.0154294331780442,0.0002911905155708633,-0.0001968255250353666,-0.00028548432663911264
95,0.9518086950794233,-2.3758565557018816,3.9845180950930823,0.00040037299259065645,-0.00011151326662928571,-5.230735717311897e-05
96,1.176677225632563,-3.5433812626421903,3.983047380276965,0.0003881800423191202,-1.7407026430695202e-05,-5.997415591436685e-07
97,1.1821120904138491,-1.7219768499009172,2.999815581509812,0.00015209254861063543,8.295399939818962e-05,-0.00045764855253901184
98,2.0148199931315847,-1.2919182231839719,2.9562845879546353,-0.0001905932771203006,-0.00011932926864822982,-0.0008495963942314259
99,1.9916984518873744,-5.166680016153827,3.9693784295309626,0.0001921724808912379,-9.195944172798198e-05,-0.0005975400661123012
100,1.4214178811492146,-2.4002619285961115,2.9884417735742823,0.0007233897844456354,-0.00019046518021567071,-0.0012655864787553916
101,1.4216577495255072,-6.795238542608318,3.8846717339964045,0.0008286485286722015,-0.00022478107395026658,-0.0009174583623698897
102,0.6009203760952271,-0.6484821700373139,2.2959182936787297,-0.00020919583973574228,-2.1030871217123916e-05,5.4051721484634326e-05
103,0.6027919684715703,-0.456874470112366,1.460917379398556,-6.412984732322587e-05,-4.87670277756532e-05,-0.0003718090420376073
104,0.17522011883298566,-0.6119251889957662,1.0831643016699803,-0.0003203144269668658,-0.00010625458620209987,0.00021262363509231855
105,0.1747674009652293,-0.43859527199021525,1.0495763411297427,-7.098673047756423e-05,-0.00010624335363590611,-0.000380150980564261
106,0.6027307198903287,-0.9182028029803418,1.982329982408966,-6.842117346616736e-05,-0.00015308929558671607,7.582559754714687e-07
107,1.9194813706930518,-0.8695312970759517,2.045997685257555,-9.668679553436615e-05,6.890620278662383e-05,-0.0004939631665576704
108,1.6834070474377192,-1.9891756268566196,2.9696483151098,-0.0003683051183872358,0.00013301344605164023,-0.00016271264984607213
109,0.49942197899016555,-0.6763443026608816,5.036786465260826,8.246660403745531e-05,-0.00018367628889011048,0.0009631881929459304
110,1.5962783987793558,-4.730463337062794,3.8789091851646655,0.00034085171686910507,0.00012140828433596811,-4.2902893071402736e-05
111,1.4100647192556248,-3.953991188795129,5.0410974061703495,0.0018750047947918489,0.00047440998975512965,0.00029088973695741487
